𡸪 zì
𢼱 zì
𣄮 zì
𦣹 zì
𩐍 zǐ
𥲕 zǐ
𡪒 zǐ
𣖨 zǐ
𣸆 zǐ
𥬳 zǐ
𦚙 zǐ
𧆰 zǐ
𥞑 zǐ
𥞎 zǐ
𠡸 zǐ
𥫞 zǐ
𨹀 zǐ
𡉗 zǐ
𠂔 zǐ
𧥕 zī
𪗐 zī
𧕓 zī
𧹌 zī
𪅵 zī
𪑿 zī
𪗋 zī
𧞓 zī
𥼻 zī
𪗉 zī
𪕊 zī
𥼩 zī
𩄚 zī
𡗈 zī
𨩲 zī
𣚀 zī
𣚁 zī
𧀗 zī
𥀖 zī
𩜊 zī
𨍢 zī
𦺱 zī
𥻍 zī
𨝳 zī
𥕁 zī
𦖺 zī
𧛏 zī
𦟐 mā
𣯃 zī
𧣤 zī
𨀥 zī
𣣊 zī
𥚉 zī
𡙛 zī
𢱆 zī
𡸟 zī
𧿞 zī
𣳩 zī
𣥨 zī
𨚖 zī
𠀢 zī
𤓦 zhuò
𩆸 zhuó
𢺡 zhuó
𥷮 zhuó,zhāo
𥷘 zhuó
𩑂 zhuó
𨮿 zhuó
𧞐 zhuó
𤃮 zhuó
𧃔 zhuó
𩷹 zhuó
𦅾 zhuó
𥗁 zhuó
𧂒 zhuó
𣃑 zhuó
𥐊 zhuó
𥋮 zhuó
𥢔 zhuó,zhào
𨢬 zhuó,tú
𩋁 zhuó
𧜵 xiè
𠿡 zhuó
𢢗 zhuó
𨧧 zhuó
𥡴 jì
𩩔 zhuó
𤏸 zhuó
𧨳 zhuó
𥯩 zhuó
𨡸 zhuó
𣃈 zhuó
𨖮 zhuó
𥮥 zhuó
𢳇 zhuó,zú
𥇍 zhuó
𦜰 zhuó
𩲃 zhuó
𢽴 zhuó
𢽚 zhuó,dū
𢧈 zhuó
𦳡 zhuó
𤉐 zhuó
𧢼 zhuó
𢁁 zhuó
𦰹 zhuó
𨺝 zhuó
𡷿 zhuó
𧘑 zhuó,bào
𠡑 zhuó
𨑽 zhuó
𥼚 zhuō
𧱰 zhuō
𠭴 zhuō
𥞺 zhuō
𣄻 zhuō
𥢟 hù
𥚠 zhùn
𥇜 zhūn,guō
𡉫 tún
𣦬 zhuì
𨪗 zhuì
𤺅 zhuì
𨺵 zhuì
𩜀 zhuì,duī
𡑻 zhuì
𩛵 zhuì
𦥻 zhuì
𥟒 zhuì
𢊅 zhuì
𧿲 zhuì,bó
𠃋 gōng
𩬳 zhuǐ
𪋇 zhuī
𩪀 zhuī
𨾻 zhuī
𣨫 zhuī
𩯲 zhuàng
𢤤 zhuàng
𩅃 zhuàng,chóng
𦀜 zhuàng
𠌴 zhuàng
𨀵 zhuàng
𤶜 zhuàng
𣶍 zhuàng
𣴣 zhuàng
𤘲 zhuàng
𢙳 zhuǎng
𩮱 zhuāng
𣞝 zhuāng
𪁈 zhuāng,zhuàng
𣻛 zhuāng
𪉉 zhuàng
𦚏 zhuāng
𩻝 zhuàn
𦧸 zhuàn
𧸖 zhuàn,lián
𤪪 zhuàn,chūn
𤂤 zhuàn
𩔊 zhuàn
𧂍 zhuàn,sūn
𩳏 zhuàn
𤩄 zhuàn
𡢀 zhuàn
𥛥 zhuàn
𣚢 zhuàn
𦁆 zhuàn,juàn,shuàn
𣂵 zhuàn
𢐎 zhuàn
𠊩 zhuàn
𠨎 zhuàn
𩧜 zhuǎn
𨷱 zhuǎn
𡤛 zhuǎn
𦄯 zhuǎn
𦓝 zhuǎn
𦓚 zhuǎn
𣕏 zhuǎn
𦝏 zhuǎn,shuàn
𡇰 zhuǎn
𤮳 zhuān,guàn
𡰞 zhuān
𤮍 chuán
𡭇 zhuān
𢞬 zhuān
𢂘 zhuān
𥫛 zhuān
𡎬 zhuǎ
𣑃 zhuǎ
𥮣 zhuā
𥬲 zhuā,duò
𧈚 zhù
𪚹 zhù
𨙔 zhù
𡤗 zhù
𨭅 zhù
𨆄 zhù
𤳯 zhù
𥵟 zhù
𢥃 zhù
𪊹 zhù
𤎧 zhù
𩶂 zhù
𥯸 zhù
𡻠 zhù
𩡾 suó
𤋰 zhù
𤾄 zhù
𨈫 zhù
𣥼 zhù
𥹍 zhù
𡱱 zhù
𢚻 zhù
𠴦 zhù
𡸌 zhù
𢩄 zhù
𦙴 zhù
𤕞 zhù
𠩈 zhù
𪋰 zhǔ
𥋛 zhǔ
𦅷 zhǔ,zhù
𦉐 zhǔ
𩒊 zhǔ
𩨻 zhǔ
𤲑 zhǔ
𧚔 tóng
𣔯 zhǔ
𡺐 zhǔ
𧉞 zhǔ
𤆼 zhǔ
𡱆 shǔ
